"-118.9511	35.37572"
"-118.91437	35.351"
"-118.96722	35.39716"
"-117.97844	34.07049"
"-117.96803	34.08433"
"-117.95929	34.07266"
"-116.90025	33.92537"
"-116.99359	34.88179"
"-116.99933	34.8912"
"-117.08735	34.85513"
"-121.94202	38.02126"
"-116.975059	33.929375"
"-116.9773	33.92805"
"-118.16422	33.96798"
"-118.15086	33.87489"
"-118.14253	33.88723"
"-122.28178	37.52506"
"-122.191358	38.080401"
"-122.15112	38.0561"
"-122.29651	37.88236"
"-122.2685	37.87223"
"-116.898639	34.243585"
"-118.395189	37.365534"
"-117.20844	34.24727"
"-114.60565	33.60871"
"-117.03417	32.66046"
"-117.22583	33.28988"
"-115.54191	32.97876"
"-117.847619	33.90719"
"-117.89269	33.913868"
"-117.86572	33.911249"
"-121.735505	37.925499"
"-121.69631	37.94752"
"-120.18869	34.61304"
"-117.98627	33.84662"
"-117.99818	33.849"
"-118.010999	33.858575"
"-117.998014	33.874714"
"-118.349084	34.195243"
"-118.32174	34.18419"
"-118.31169	34.18321"
"-118.3232	34.16732"
"-118.31876	34.18805"
"-121.65327	40.887862"
"-119.397537	35.401017"
"-116.81894	33.93077"
"-118.69826	34.14448"
"-115.4954	32.66546"
"-115.498464	32.672431"
"-117.95763	35.12574"
"-117.057704	33.994825"
"-119.07299	34.21979"
"-119.0059	34.21621"
"-119.03881	34.23444"
"-120.97226	38.65796"
"-117.391532	33.222236"
"-117.35998	33.19782"
"-118.58826	34.19287"
"-118.6067	34.21949"
"-121.9647	36.97446"
"-117.32703	33.17969"
"-117.32461	33.12305"
"-121.32832	38.6341"
"-119.51268	34.39645"
"-118.27701	33.80772"
"-118.26504	33.84727"
"-118.24892	33.87222"
"-118.26345	33.82969"
"-118.622653	34.496554"
"-122.06359	37.68911"
"-122.0899	37.69192"
"-116.48264	33.78838"
"-116.455409	33.86113"
"-120.93861	37.60669"
"-120.93858	37.60908"
"-118.0614	33.87046"
"-118.09293	33.86399"
"-118.58937	34.25709"
"-121.841985	39.73201"
"-121.834699	39.738504"
"-121.856695	39.759072"
"-121.795496	39.717208"
"-117.72249	34.00067"
"-117.68909	34.02416"
"-117.74759	33.98477"
"-117.69491	33.96272"
"-120.256134	37.126001"
"-117.09503	32.64557"
"-117.09815	32.64017"
"-117.080885	32.608415"
"-117.03639	32.62813"
"-117.09019	32.656677"
"-117.08768	32.62683"
"-117.07917	32.60398"
"-117.06907	32.6132"
"-117.02454	32.61448"
"-116.9693	32.64639"
"-121.31955	38.6796"
"-121.29172	38.66385"
"-121.31269	38.70824"
"-121.27166	38.70469"
"-118.20213	33.97953"
"-118.14185	33.99586"
"-117.93221	34.00016"
"-117.931348	33.993312"
"-117.71905	34.08027"
"-122.6176	38.93166"
"-123.01414	38.78573"
"-119.716348	36.808697"
"-119.7188	36.808718"
"-119.729514	36.851776"
"-119.698658	36.837623"
"-116.197924	33.700365"
"-116.181499	33.70965"
"-120.250662	36.25413"
"-120.363473	36.13662"
"-120.950933	39.094137"
"-117.326339	34.06742"
"-117.309161	34.047672"
"-118.22384	33.89612"
"-118.20712	33.8886"
"-118.222428	33.907877"
"-118.20652	33.88664"
"-122.06247	37.96712"
"-122.03818	37.97478"
"-122.04185	37.95454"
"-121.9868	37.96255"
"-119.57243	36.0979"
"-122.198442	39.904952"
"-117.540752	33.845746"
"-117.622919	33.86999"
"-117.539584	33.846202"
"-117.58303	33.87989"
"-117.54369	33.86522"
"-117.52068	33.88938"
"-117.189264	32.70449"
"-117.88589	33.68389"
"-117.88576	33.69035"
"-117.92522	33.64327"
"-117.91962	33.68464"
"-117.91889	33.65801"
"-117.907921	34.102707"
"-117.9075	34.0964"
"-117.872776	34.086607"
"-124.194042	41.754992"
"-117.26585	34.24558"
"-118.186212	33.961734"
"-118.40329	34.00077"
"-122.04128	37.3371"
"-118.028459	33.815503"
"-122.47112	37.6923"
"-122.470741	37.674963"
"-122.469962	37.668896"
"-122.41571	37.70702"
"-117.68967	33.4655"
"-121.9217	37.79837"
"-121.75757	38.56061"
"-121.69702	38.5507"
"-117.249216	32.980525"
"-119.24648	35.77608"
"-116.501193	33.94443"
"-117.8446	33.99995"
"-117.81087	34.02163"
"-119.385689	36.544239"
"-119.376468	36.54557"
"-121.61944	37.88956"
"-121.84173	38.45735"
"-118.147852	33.947246"
"-118.143614	33.903982"
"-118.120923	33.938185"
"-118.11775	33.947263"
"-118.114407	33.931046"
"-118.11316	33.95474"
"-118.14813	33.92889"
"-117.98616	34.13412"
"-117.98135	34.13945"
"-121.9232	37.70636"
"-118.18803	34.13726"
"-116.95267	33.7475"
"-117.994	33.93086"
"-118.18398	34.03318"
"-118.15303	34.03315"
"-118.151092	34.019227"
"-122.13963	37.4719"
"-122.13773	37.45941"
"-116.901472	32.825293"
"-116.967399	32.806853"
"-116.9727	32.80783"
"-116.9355	32.79754"
"-116.9186	32.81194"
"-116.901417	32.826197"
"-115.574389	32.812923"
"-115.552447	32.77637"
"-115.5697	32.7954"
"-122.32067	37.92822"
"-121.06831	38.64984"
"-118.0535	34.07915"
"-118.0271	34.09399"
"-118.02622	34.06736"
"-120.68626	35.64267"
"-118.39614	33.91634"
"-117.707529	33.615783"
"-121.39156	38.40931"
"-121.48079	38.42468"
"-121.405349	38.45601"
"-121.40119	38.42243"
"-121.41621	38.42371"
"-121.38126	38.40883"
"-117.2624	33.06708"
"-117.26223	33.0459"
"-118.47517	34.15508"
"-118.5174	34.16222"
"-117.0968	33.11709"
"-117.08985	33.12908"
"-117.074027	33.104357"
"-117.071	33.07137"
"-117.06868	33.06916"
"-117.0678	33.13024"
"-124.153259	40.804592"
"-124.18995	40.777268"
"-119.154134	36.29727"
"-121.27163	38.66372"
"-121.22708	38.66378"
"-122.08376	38.23732"
"-122.06638	38.24908"
"-122.06623	38.2585"
"-122.05412	38.2583"
"-122.03397	38.26929"
"-122.12587	38.22253"
"-117.2511	33.37316"
"-119.214089	36.32657"
"-118.933063	34.376434"
"-120.626364	36.638261"
"-121.16646	38.67084"
"-121.12363	38.65463"
"-121.18964	38.64338"
"-121.17869	38.68472"
"-121.16161	38.67192"
"-117.428386	34.106512"
"-117.4899	34.10666"
"-117.43822	34.18388"
"-117.435413	34.069546"
"-117.431699	34.13767"
"-117.48663	34.04214"
"-117.45462	34.1064"
"-121.34195	38.6868"
"-117.665203	33.680666"
"-118.94827	34.98458"
"-124.146489	40.583455"
"-122.27148	37.56305"
"-117.953855	33.687548"
"-119.68331	36.627169"
"-121.986527	37.519048"
"-122.01446	37.5568"
"-121.98987	37.5495"
"-121.96698	37.53445"
"-121.9486	37.49056"
"-121.92278	37.5386"
"-122.03214	37.57098"
"-119.859257	36.808507"
"-119.785734	36.740685"
"-119.721736	36.7361"
"-119.884105	36.808259"
"-119.850332	36.80806"
"-119.831667	36.757549"
"-119.790722	36.778723"
"-119.790454	36.758178"
"-119.790107	36.820634"
"-119.790052	36.74343"
"-119.781785	36.80879"
"-119.771563	36.706625"
"-119.756954	36.808472"
"-119.755076	36.78674"
"-119.7538	36.836608"
"-119.749587	36.73608"
"-119.697518	36.736171"
"-119.862044	36.779296"
"-119.84769	36.83816"
"-119.826258	36.793143"
"-119.802052	36.837858"
"-119.772907	36.851702"
"-119.735729	36.765337"
"-119.699953	36.793012"
"-123.80734	39.42387"
"-117.95989	33.87711"
"-117.92378	33.87407"
"-117.9594	33.85865"
"-121.29464	38.25306"
"-118.0286	33.78786"
"-117.9613	33.78873"
"-117.95683	33.75935"
"-117.9373	33.77435"
"-117.92051	33.76043"
"-117.91461	33.78077"
"-118.3282	33.88276"
"-118.29813	33.87268"
"-118.291579	33.91642"
